path,count,mean,std,min,p05,p25,p50,p75,p95,max
gee_lst\Bologna_LST_2019_summer_validObsCount_30m.tif,156428,4.91135835647583,0.33293041586875916,1.0,4.0,5.0,5.0,5.0,5.0,6.0
gee_lst\Bologna_LST_2020_summer_mean_30m.tif,156336,39.451210021972656,3.8100461959838867,28.769367218017578,32.39702606201172,36.930885314941406,39.993003845214844,42.180450439453125,45.01478576660156,53.3050537109375
gee_lst\Bologna_LST_2020_summer_median_30m.tif,156336,39.865455627441406,4.10292911529541,28.4851016998291,32.27055740356445,37.0318603515625,40.48748016357422,42.88863754272461,45.77515411376953,53.684452056884766
gee_lst\Bologna_LST_2020_summer_validObsCount_30m.tif,156336,5.792977809906006,0.41953569650650024,1.0,5.0,6.0,6.0,6.0,6.0,6.0
gee_lst\Bologna_LST_2021_summer_mean_30m.tif,156433,41.65538787841797,3.941894292831421,28.209381103515625,34.15952682495117,39.29288101196289,42.19477844238281,44.4028205871582,47.319358825683594,55.764320373535156
gee_lst\Bologna_LST_2021_summer_median_30m.tif,156433,42.726444244384766,3.885918140411377,28.861083984375,35.27670669555664,40.34221267700195,43.47311782836914,45.404300689697266,48.17631530761719,55.62759780883789
gee_lst\Bologna_LST_2021_summer_validObsCount_30m.tif,156433,3.878446340560913,0.7169160842895508,1.0,3.0,3.0,4.0,4.0,5.0,6.0
gee_lst\Bologna_LST_2022_summer_mean_30m.tif,156437,41.05522537231445,3.4888916015625,30.115154266357422,34.476112365722656,38.79726791381836,41.57421875,43.52438735961914,46.210182189941406,54.26637268066406
gee_lst\Bologna_LST_2022_summer_median_30m.tif,156437,41.857112884521484,4.195005416870117,29.595956802368164,34.24959182739258,38.92373275756836,42.29561233520508,45.045406341552734,48.03788375854492,56.71623611450195
gee_lst\Bologna_LST_2022_summer_validObsCount_30m.tif,156437,8.53044319152832,0.8273341059684753,2.0,7.0,8.0,9.0,9.0,10.0,10.0
gee_lst\Bologna_LST_2023_summer_mean_30m.tif,156434,38.74714279174805,4.07804012298584,25.564647674560547,31.25662612915039,35.855064392089844,39.608802795410156,41.667808532714844,44.4296760559082,53.486209869384766
gee_lst\Bologna_LST_2023_summer_median_30m.tif,156434,40.63056564331055,4.597764015197754,26.18819236755371,32.44658660888672,37.0950927734375,41.53510284423828,44.07981872558594,47.137237548828125,54.950828552246094
gee_lst\Bologna_LST_2023_summer_validObsCount_30m.tif,156434,7.366250514984131,0.88057941198349,1.0,6.0,7.0,7.0,8.0,9.0,10.0
gee_lst\Bologna_LST_2024_summer_mean_30m.tif,156437,40.24530029296875,3.640542507171631,30.5379638671875,33.71504211425781,37.65222930908203,40.74793243408203,42.962467193603516,45.45140838623047,53.3409423828125
gee_lst\Bologna_LST_2024_summer_median_30m.tif,156437,40.48256301879883,3.829000234603882,30.568384170532227,33.72492599487305,37.67786407470703,40.933528900146484,43.37057876586914,46.0742301940918,54.0245475769043
gee_lst\Bologna_LST_2024_summer_validObsCount_30m.tif,156437,9.586894035339355,0.5431692004203796,3.0,9.0,9.0,10.0,10.0,10.0,10.0
gee_lst\Bologna_LST_2025_summer_mean_30m.tif,156437,39.09553146362305,3.702382802963257,28.39281463623047,32.40898895263672,36.456302642822266,39.69658660888672,41.780059814453125,44.50155258178711,51.89569091796875
gee_lst\Bologna_LST_2025_summer_median_30m.tif,156437,39.601131439208984,3.993434190750122,29.45581817626953,32.30815505981445,36.725948333740234,40.37297439575195,42.517784118652344,45.22314453125,51.98740768432617
gee_lst\Bologna_LST_2025_summer_validObsCount_30m.tif,156437,8.22097110748291,1.2634857892990112,3.0,6.0,7.0,8.0,9.0,10.0,11.0
gee_lst\Bologna_LST_2026_summer_mean_30m.tif,156437,39.52573013305664,3.5425188541412354,30.09095001220703,33.044677734375,37.045066833496094,40.09238815307617,42.1009407043457,44.6237907409668,52.62794494628906
gee_lst\Bologna_LST_2026_summer_median_30m.tif,156437,40.93876647949219,3.49967622756958,30.980255126953125,34.603355407714844,38.477684020996094,41.451358795166016,43.44919204711914,46.12550354003906,53.3990478515625
gee_lst\Bologna_LST_2026_summer_validObsCount_30m.tif,156437,10.896066665649414,0.7724437117576599,7.0,10.0,10.0,11.0,11.0,12.0,12.0
hotspots\hotspot_structural_2013_top5pct.tif,156437,0.05354231968522072,0.22511228919029236,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2014_top5pct.tif,156437,0.05692387372255325,0.23169711232185364,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2015_top5pct.tif,156437,0.061897121369838715,0.24096859991550446,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2016_top5pct.tif,156437,0.06609689444303513,0.24845139682292938,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2017_top5pct.tif,156437,0.045059673488140106,0.20743504166603088,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_structural_2018_top5pct.tif,156437,0.06814244389533997,0.2519901990890503,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2019_top5pct.tif,156428,0.05798833817243576,0.23372140526771545,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2020_top5pct.tif,156336,0.05474106967449188,0.2274741232395172,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2021_top5pct.tif,156433,0.04569368436932564,0.20881995558738708,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_structural_2022_top5pct.tif,156437,0.04892704263329506,0.21571551263332367,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_structural_2023_top5pct.tif,156434,0.05431044474244118,0.22662924230098724,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2024_top5pct.tif,156437,0.05832379683852196,0.23435470461845398,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_structural_2025_top5pct.tif,156437,0.044452399015426636,0.20609797537326813,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_structural_2026_top5pct.tif,156437,0.03808562085032463,0.19140298664569855,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_structural_persistence_2013_2026.tif,156437,0.7541438341140747,2.3563833236694336,0.0,0.0,0.0,0.0,0.0,5.0,14.0
hotspots\hotspot_structural_vs_anomalous_new_2026.tif,156437,0.1799190789461136,0.5645438432693481,0.0,0.0,0.0,0.0,0.0,2.0,3.0
hotspots\hotspot_structural_vs_anomalous_persistence_new_2013_2026.tif,156437,202.0537109375,76.44315338134766,0.0,100.0,114.0,200.0,213.0,301.0,601.0
hotspots\hotspot_temporal_2013_zgt1p0.tif,156437,0.058394115418195724,0.2344871610403061,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_temporal_2013_zgt1p5.tif,156437,0.009658840484917164,0.09780361503362656,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2014_zgt1p0.tif,156437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspots\hotspot_temporal_2014_zgt1p5.tif,156437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotspots\hotspot_temporal_2015_zgt1p0.tif,156437,0.06640373170375824,0.24898648262023926,0.0,0.0,0.0,0.0,0.0,1.0,1.0
